path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3889,3752,3889,3752|3889
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2534,2408,2534,2534|2408
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2129,2010,2129,2129|2010
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5521,5402,5521,5402|5521
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2134,2036,2134,2134|2036
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2411,2309,2411,2309|2411
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1640,1626,1640,1626|1640
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1678,1596,1678,1596|1678
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1751,1665,1751,1751|1665
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1252,1217,1252,1217|1252
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2615,2354,2615,2354|2615
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,843,781,843,843|781
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1188,1066,1188,1188|1066
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,588,544,588,588|544
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1076,1005,1076,1005|1076
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1024,1003,1024,1003|1024
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1247,1193,1247,1247|1193
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,1001,918,1001,918|1001
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1245,1165,1245,1245|1165
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,1218,1184,1218,1184|1218
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1919,1742,1919,1919|1742
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,673,593,673,673|593
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,986,696,986,696|986
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1364,1169,1364,1169|1364
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,1118,971,1118,971|1118
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,1052,1040,1052,1040|1052
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,382,381,382,382|381
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,998,845,998,998|845
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1007,974,1007,1007|974
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,5034,4930,5034,5034|4930
