path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,4084,3612,4556,3612|4556
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2847,2776,2918,2776|2918
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,1992,1979,2006,2006|1979
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,4967,4825,5110,5110|4825
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1686,1676,1696,1676|1696
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2557,2489,2626,2489|2626
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1574,1555,1594,1594|1555
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1622,1616,1628,1616|1628
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,3432,3322,3542,3542|3322
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1588,1550,1627,1550|1627
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2552,2142,2963,2963|2142
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,555,544,567,544|567
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,812,803,822,822|803
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,503,482,524,482|524
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,907,892,922,922|892
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,980,937,1024,1024|937
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1053,962,1144,1144|962
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,854,841,867,867|841
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,871,862,881,881|862
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,853,841,866,841|866
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1648,1619,1678,1619|1678
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,662,657,667,667|657
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,808,712,905,905|712
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1013,1002,1025,1002|1025
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,825,785,865,785|865
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,818,737,900,737|900
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,417,369,465,465|369
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,943,923,964,923|964
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,896,886,906,886|906
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4198,4149,4247,4247|4149
