path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,5422,4149,5654,4149|5422|5654
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,3474,3417,3590,3590|3417|3474
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2258,2255,2281,2281|2258|2255
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5628,5151,6064,5628|6064|5151
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,1907,1903,2129,1903|1907|2129
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2338,2278,2433,2433|2338|2278
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,2378,1553,2467,1553|2378|2467
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1410,1254,1655,1655|1410|1254
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1313,1303,1331,1331|1303|1313
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1478,1434,1505,1478|1434|1505
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2976,2870,3111,3111|2976|2870
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,762,757,782,782|762|757
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,1069,1046,1075,1069|1046|1075
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,636,617,658,658|617|636
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,1220,1195,1314,1314|1220|1195
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,1148,1068,1152,1148|1152|1068
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1143,1112,1162,1112|1143|1162
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,987,961,1038,987|961|1038
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1301,1200,1321,1200|1321|1301
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,919,879,1123,1123|919|879
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1693,1691,1704,1704|1693|1691
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,687,661,731,661|687|731
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,1427,956,1600,1600|1427|956
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1141,1140,1226,1226|1141|1140
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,850,826,863,826|863|850
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,813,806,830,813|830|806
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,322,322,323,322|322|323
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,813,804,819,813|819|804
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,1107,844,1111,844|1107|1111
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,3794,3771,4092,4092|3794|3771
